date,apr_pct,tvl_usd
2024-03-10,13.42682,641020
2024-03-11,11.6648,666932
2024-03-12,9.59911,713120
2024-03-13,3.77523,2230538
2024-03-14,9.17626,1002295
2024-03-15,4.56541,1471707
2024-03-16,6.00882,1124181
2024-03-17,19.42185,827598
2024-03-18,4.80018,1299815
2024-03-19,8.58217,1172544
2024-03-20,20.09168,902074
2024-03-21,4.79023,1419907
2024-03-22,4.76348,1482880
2024-03-23,4.92716,1341038
2024-03-24,8.13681,1193365
2024-03-25,7.63665,1340931
2024-03-26,19.5143,1065437
2024-03-27,4.35124,2412518
2024-03-28,3.99549,3304767
2024-03-29,4.31251,2722310
2024-03-30,4.56593,2249465
2024-03-31,8.769,1620595
2024-04-01,7.2535,1678345
2024-04-02,6.12245,1740865
2024-04-03,4.53926,2483374
2024-04-04,4.50882,2651931
2024-04-05,4.18999,3302498
2024-04-06,4.48464,2662820
2024-04-07,4.57095,2497328
2024-04-08,4.19473,3466263
2024-04-09,4.18171,3584242
2024-04-10,8.7556,3173079
2024-04-11,8.02053,4029089
2024-04-12,6.62564,6353099
2024-04-13,6.00112,7659813
2024-04-14,8.10829,4070284
2024-04-15,7.85409,4545315
2024-04-16,7.05805,5650426
2024-04-17,6.55627,6526096
2024-04-18,5.62492,8381717
2024-04-19,5.02907,9741125
2024-04-20,4.92285,9974865
2024-04-21,5.28978,8960269
2024-04-22,5.6601,8607110
2024-04-23,5.98937,7898851
2024-04-24,5.86778,8138628
2024-04-25,5.60021,8744478
2024-04-26,6.48628,7116173
2024-04-27,5.91337,8224093
2024-04-28,5.43478,9270405
2024-04-29,5.75381,8642008
2024-04-30,5.1398,10284134
2024-05-01,5.73293,8751505
2024-05-02,6.16992,7802512
2024-05-03,5.11357,10785580
2024-05-04,4.87199,11599020
2024-05-05,3.82444,10955840
2024-05-06,3.47201,12668977
2024-05-07,3.29877,13693157
2024-05-08,3.5224,12719850
2024-05-09,4.84938,8035277
2024-05-10,5.11886,6974238
2024-05-11,5.34306,6537896
2024-05-12,5.0728,6965124
2024-05-13,5.61443,5353077
2024-05-14,5.29204,6166522
2024-05-15,3.98084,10333118
2024-05-16,4.04935,9953981
2024-05-17,4.10317,9632890
2024-05-18,3.97905,9986512
2024-05-19,4.03977,9789546
2024-05-20,4.11368,10016354
2024-05-21,4.24734,9878804
2024-05-22,6.65171,3839475
2024-05-23,6.73268,3686886
2024-05-24,6.55663,4023436
2024-05-25,6.98642,3272201
2024-05-26,5.97553,5182617
2024-05-27,5.83997,5669504
2024-05-28,6.89869,3542086
2024-05-29,6.86093,3513515
2024-05-30,6.02835,4894302
2024-05-31,7.11688,3016111
2024-06-01,7.01472,3241918
2024-06-02,7.43098,2697568
2024-06-03,6.518,4028580
2024-06-04,6.6721,3810492
2024-06-05,4.09158,11003622
2024-06-06,11.99553,2230696
2024-06-07,6.53261,3926402
2024-06-08,6.61448,3807335
2024-06-09,6.45085,4170353
2024-06-10,6.65049,3792195
2024-06-11,11.5138,2479016
2024-06-12,6.51988,4397758
2024-06-13,6.87627,3732636
2024-06-14,6.75777,4061127
2024-06-15,5.93529,5918315
2024-06-16,5.61798,6638935
2024-06-17,6.15444,5166965
2024-06-18,6.53218,4409260
2024-06-19,6.02858,5490238
2024-06-20,6.02316,5472230
2024-06-21,6.18221,5052059
2024-06-22,6.30588,4722976
2024-06-23,5.68565,6224700
2024-06-24,6.04147,5484421
2024-06-25,5.89602,5875844
2024-06-26,6.03691,5483855
2024-06-27,6.10904,5359751
2024-06-28,6.31214,4847649
2024-06-29,5.92348,5684438
2024-06-30,5.62336,6532607
2024-07-01,5.74895,6242782
2024-07-02,5.64002,6507128
2024-07-03,6.42465,4597253
2024-07-04,5.82384,6464651
2024-07-05,4.79286,9276199
2024-07-06,4.9622,8725350
2024-07-07,4.85611,9159199
2024-07-08,5.67007,6615759
2024-07-09,5.40496,7356808
2024-07-10,4.66049,9764807
2024-07-11,5.64147,6747415
2024-07-12,5.59742,6821379
2024-07-13,5.02138,8553536
2024-07-14,4.73674,9349899
2024-07-15,4.48205,10285842
2024-07-16,4.33468,10972216
2024-07-17,4.22674,11553051
2024-07-18,3.90395,13199345
2024-07-19,4.38607,11258965
