date,apr_pct,tvl_usd
2024-09-16,0,116068
2024-11-22,0,455442
2024-11-23,0,432244
2024-11-24,0,464597
2024-11-25,0,469582
2024-11-26,0,437365
2024-11-27,0,535620
2024-11-28,0,528800
2024-11-29,0,544707
2024-11-30,0,511574
2024-12-01,0,511089
2024-12-02,0,516369
2024-12-03,0,515258
2024-12-04,0,832636
2024-12-05,0,821448
2024-12-06,0,1005860
2024-12-07,0,997342
2024-12-08,0,988204
2024-12-09,0,707499
2024-12-10,0,1784906
2024-12-11,0,1710124
2024-12-12,0,1074801
2024-12-13,0,1110132
2024-12-14,0,1122049
2024-12-15,0,1073082
2024-12-16,0,1319343
2024-12-17,0,1254473
2024-12-18,0,1545449
2024-12-19,0,1598318
2024-12-20,0,1811161
2024-12-21,0,1903683
2024-12-22,0,1849072
2024-12-23,0,1867083
2024-12-24,0,1951845
2024-12-25,0,1945088
2024-12-26,0,1935993
2024-12-27,0,1864723
2024-12-28,0,1916416
2024-12-29,0,1955542
2024-12-30,0,1919042
2024-12-31,0,2644715
2025-01-01,0,2756154
2025-01-02,0,2877403
2025-01-03,0,2859514
2025-01-04,0,2831372
2025-01-05,0,2165667
2025-01-06,0,2261022
2025-01-07,0,2080146
2025-01-08,0,2325667
2025-01-09,0,2097842
2025-01-10,0,2502878
2025-01-11,0,2504545
2025-01-12,0,2415454
2025-01-13,0,2648581
2025-01-14,0,2727386
2025-01-15,0,2891150
2025-01-16,0,3329589
2025-01-17,0,3435318
2025-01-18,0,3229528
2025-01-19,0,3634844
2025-01-20,0,3496921
2025-01-21,0,4324660
2025-01-22,0,4088947
2025-01-23,0,4100487
2025-01-24,0,4719114
2025-01-25,0,4482950
2025-01-26,0,4517734
2025-01-27,0,5084083
2025-01-28,0,4847734
2025-01-29,0,5359442
2025-01-30,0,5283722
2025-01-31,0,5183842
2025-02-01,0,5133973
2025-02-02,0,5181826
2025-02-03,0,5620221
2025-02-04,0,4403514
2025-02-05,0,5449019
2025-02-06,0,5421029
2025-02-07,0,5592028
2025-02-08,0,5441098
2025-02-10,0,5878059
2025-02-11,0,5932093
2025-02-12,0,5971677
2025-02-13,0,6185476
2025-02-14,0,6138189
2025-02-15,0,6142834
2025-02-16,0,6061203
2025-02-17,0,6112325
2025-02-18,0,5628620
2025-02-19,0,6107478
2025-02-20,0,5809724
2025-02-21,0,6009527
2025-02-22,0,5742489
2025-02-23,0,5707312
2025-02-24,0,5803747
2025-02-25,0,4427704
2025-02-26,0,5006204
2025-02-27,0,3427102
2025-02-28,0,3703528
2025-03-01,0,3581560
2025-03-02,0,3397064
2025-03-03,0,3934553
2025-03-07,0,5233171
2025-03-08,0,4357587
2025-03-09,0,4176877
2025-03-26,27.32227,6361976
2025-03-27,24.16164,6488172
2025-03-28,29.69227,6381259
2025-03-29,29.64606,6408155
2025-03-30,17.0401,7361416
2025-03-31,46.79648,7387654
2025-04-01,38.42292,7348757
2025-04-02,42.46772,7867263
2025-04-03,100.94576,7149895
2025-04-10,111.15993,7403402
2025-04-11,72.4364,7483670
2025-04-12,66.55088,7095001
2025-04-13,60.56442,7230300
2025-04-14,80.80782,7974755
2025-04-15,61.36722,8125951
2025-04-16,51.19975,7668211
2025-04-17,52.73408,8251196
2025-04-18,26.33787,8273943
