date,apr_pct,tvl_usd
2023-09-07,24.27643,11598
2023-09-08,14.64665,149923
2023-09-09,8.15423,308789
2023-09-10,28.59942,297853
2023-09-11,56.66708,274652
2023-09-12,58.06931,28563
2023-09-13,19.66306,380479
2023-09-14,21.79896,508642
2023-09-15,26.72772,502462
2023-09-16,18.72217,25230
2023-09-17,4.95843,497049
2023-09-18,6.82186,496678
2023-09-19,14.99441,497367
2023-09-20,13.23126,22393
2023-09-21,33.26937,488217
2023-09-22,41.88535,493793
2023-09-23,13.19937,542762
2023-09-24,86.47029,11895
2023-09-25,2678.45384,14703
2023-09-26,9.78641,34149
2023-09-27,22.97426,20713
2023-09-28,31.01919,13272
2023-09-29,9.27273,19332
2023-09-30,44.39289,24541
2023-10-01,63.98176,23103
2023-10-02,25.31085,15481
2023-10-03,8.4639,15501
2023-10-04,10.10205,15454
2023-10-05,13.61885,15141
2023-10-06,8.50701,15279
2023-10-07,25.58684,514889
2023-10-08,47.19122,515476
2023-10-09,66.62296,35196
2023-10-10,49.17303,19001
2023-10-11,68.02994,18995
2023-10-12,13.29634,17083
2023-10-13,31.90614,17193
2023-10-14,36.7119,21567
2023-10-15,30.43214,22010
2023-10-16,37.53757,23545
2023-10-17,81.01738,18683
2023-10-18,34.14453,23348
2023-10-19,59.1678,23011
2023-10-20,79.16804,29472
2023-10-21,26.31085,27334
2023-10-22,40.61577,28568
2023-10-23,104.61517,25884
2023-10-24,17.46604,23397
2023-10-25,26.93138,23397
2023-10-26,25.06356,23687
2023-10-27,17.63413,23944
2023-10-28,18.78361,23947
2023-10-29,16.67904,24160
2023-10-30,22.77348,27321
2023-10-31,20.51294,30173
2023-11-01,30.62054,21043
2023-11-02,28.77689,21086
2023-11-03,19.30167,20171
2023-11-04,18.35727,18417
2023-11-05,14.13081,19144
2023-11-06,10.9625,19371
2023-11-07,12.83561,19916
2023-11-08,11.7495,20399
2023-11-09,13.85625,24077
2023-11-10,21.89475,23366
2023-11-11,12.70782,23250
2023-11-12,9.06676,23590
2023-11-22,40.43135,471874
2023-11-23,86.43787,478806
2023-11-24,109.95929,484778
2023-11-25,36.33385,461903
2023-11-26,72.52272,492732
2023-11-27,42.11052,491534
2023-11-28,54.74957,577716
2023-11-29,58.82798,567444
2023-11-30,55.48506,472661
2023-12-01,87.10235,475499
2023-12-02,30.16212,479854
2023-12-03,2.86356,483302
2023-12-04,4.32587,482350
2023-12-05,19.27594,489131
2023-12-06,51.28313,498588
2023-12-07,25.84644,524788
2023-12-08,13.4234,521470
2023-12-09,9.53739,520868
2023-12-10,6.50323,505062
2023-12-11,76.44034,485720
2023-12-12,79.732,486346
2023-12-13,75.14443,498089
2023-12-14,54.12278,522151
2023-12-15,61.83153,500764
2023-12-16,64.32581,496058
2023-12-17,51.31931,522385
2023-12-18,73.55268,497387
2023-12-19,54.32114,493951
2023-12-20,64.09808,478988
2023-12-21,57.92186,484887
2023-12-22,38.05471,489582
2023-12-23,51.05674,94822
2023-12-24,49.59972,106011
2023-12-25,39.99035,109593
2023-12-26,65.35344,111683
2023-12-27,80.87966,106595
2023-12-28,76.55326,124725
2023-12-29,88.92134,133975
2023-12-30,40.75285,133498
2023-12-31,43.01981,117246
2024-01-01,34.82794,140083
2024-01-02,59.27129,143897
2024-01-03,98.37481,147480
2024-01-04,62.57669,152146
2024-01-05,64.58787,150889
2024-01-06,38.79465,127553
2024-01-07,35.16498,125535
2024-01-08,89.79173,127170
2024-01-09,136.21455,129043
2024-01-10,116.99295,127358
2024-01-11,54.20142,152677
2024-01-12,81.83111,145779
2024-01-13,49.11206,114294
2024-01-14,23.4486,118076
2024-01-15,28.88907,121302
2024-01-16,27.63419,128959
2024-01-17,44.64202,128186
2024-01-18,36.46774,128264
2024-01-19,15.85352,252291
2024-01-20,31.23956,251352
2024-01-21,24.27722,252034
2024-01-22,39.26266,245647
2024-01-23,32.78685,217097
2024-01-24,59.7034,218930
2024-01-25,53.90839,227034
2024-01-26,25.56285,185150
2024-01-27,13.88903,69193
2024-01-28,26.02216,71297
2024-01-29,35.34148,75026
2024-01-30,30.08332,76042
2024-01-31,49.23341,83267
2024-02-01,37.09624,93466
2024-02-02,25.74987,93530
2024-02-03,33.78935,93281
2024-02-04,68.11794,97725
2024-02-05,80.8897,99243
2024-02-06,64.15296,109906
2024-02-07,80.59036,112899
2024-02-08,65.40486,105735
2024-02-09,66.90173,108716
2024-02-10,53.27932,98991
2024-02-11,38.05423,111269
2024-02-12,67.44306,113168
2024-02-13,73.07227,116658
2024-02-14,40.1033,132949
2024-02-15,84.03678,132227
2024-02-16,62.21028,113769
2024-02-17,57.2636,112286
2024-02-18,54.09548,108031
2024-02-19,116.61322,105436
2024-02-20,82.2853,105829
2024-02-21,115.55419,106835
2024-02-22,80.55645,107373
2024-02-23,77.06626,99770
2024-02-24,64.08353,107201
2024-02-25,74.1361,135305
2024-02-26,95.62504,145872
2024-02-27,122.3147,148834
2024-02-28,217.82341,142510
2024-02-29,254.44116,129185
2024-03-01,137.58788,186338
2024-03-02,87.93901,238648
2024-03-03,88.93055,234453
2024-03-04,121.87666,242856
2024-03-05,159.73226,217140
2024-03-06,132.94758,242890
2024-03-07,123.97334,260824
2024-03-08,109.65338,275849
2024-03-09,96.22457,298787
2024-03-10,163.68956,283654
2024-03-11,133.25916,282747
2024-03-12,120.56693,410079
2024-03-13,103.00633,351362
2024-03-14,171.91209,371256
2024-03-15,183.36579,349441
2024-03-16,157.5737,372294
2024-03-17,153.27944,402218
2024-03-18,173.07348,538895
2024-03-19,366.63131,517351
2024-03-20,334.51857,990457
2024-03-21,247.48556,1180457
2024-03-22,261.10452,1263147
2024-03-23,143.6127,1455352
2024-03-24,170.43897,1548748
2024-03-25,232.2648,1900271
2024-03-26,232.28721,2565516
2024-03-27,268.62721,2657533
2024-03-28,203.52351,3083656
2024-03-29,193.91091,3404166
2024-03-30,274.23095,3758300
2024-03-31,245.8845,4712411
2024-04-01,244.20598,5218984
2024-04-02,314.94969,4470810
2024-04-03,220.33698,5100719
2024-04-04,204.95907,5259326
2024-04-05,227.68095,5351776
2024-04-06,114.56845,5695598
2024-04-07,145.62224,6464190
2024-04-08,188.10407,7354006
2024-04-09,255.6665,6631857
2024-04-10,216.14617,7435697
2024-04-11,172.8008,8538054
2024-04-12,310.4479,7124745
2024-04-13,505.95983,5484648
2024-04-14,362.17822,5719838
2024-04-15,265.38036,6367935
2024-04-16,301.23355,6882748
2024-04-17,215.08426,7704357
